Key,EN,DE,Category
# --- Global / Shared ---,,,
lang_english,English,Englisch,global
lang_german,German,Deutsch,global
company_name,TechniCon Manufacturing GmbH,TechniCon Manufacturing GmbH,global
currency,€,€,global
year,Year,Jahr,global
quarter,Quarter,Quartal,global
month,Month,Monat,global
ytd,Year-to-Date,Jahresbisher (YTD),global
py,Prior Year,Vorjahr,global
yoy_change,YoY Change,Veränderung ggü. Vorjahr,global
business_unit,Business Unit,Geschäftsbereich,global
product_line,Product Line,Produktlinie,global
period,Period,Periode,global
monthly,Monthly,Monatlich,global
quarterly,Quarterly,Quartalsweise,global
annual,Annual,Jährlich,global
total,Total,Gesamt,global
of_revenue,% of Revenue,% vom Umsatz,global
trend,Trend,Trend,global
no_data,No data available,Keine Daten verfügbar,global
last_updated,Last Updated,Zuletzt aktualisiert,global
page,Page,Seite,global
filter,Filter,Filter,global
all,All,Alle,global
select,Select,Auswählen,global
,,,
# --- P&L Dashboard (Project 1) ---,,,
pnl_title,Profit & Loss,Gewinn- und Verlustrechnung,pnl
pnl_overview,P&L Overview,GuV Übersicht,pnl
pnl_detail,P&L Detail,GuV Detail,pnl
pnl_margin_analysis,Margin Analysis,Margenanalyse,pnl
revenue,Revenue,Umsatzerlöse,pnl
net_revenue,Net Revenue,Nettoumsatz,pnl
cogs,Cost of Goods Sold,Herstellungskosten (COGS),pnl
gross_profit,Gross Profit,Bruttoergebnis,pnl
gross_margin,Gross Margin,Bruttomarge,pnl
sga,Selling General & Administrative,Vertriebs- und Verwaltungskosten (SG&A),pnl
rd_expense,Research & Development,Forschung & Entwicklung (F&E),pnl
operating_income,Operating Income,Betriebsergebnis (EBIT),pnl
operating_margin,Operating Margin,Operative Marge,pnl
ebitda,EBITDA,EBITDA,pnl
ebitda_margin,EBITDA Margin,EBITDA-Marge,pnl
da,Depreciation & Amortization,Abschreibungen (AfA),pnl
ebit,EBIT,EBIT,pnl
interest_expense,Interest Expense,Zinsaufwand,pnl
interest_income,Interest Income,Zinserträge,pnl
ebt,Earnings Before Tax,Ergebnis vor Steuern (EBT),pnl
income_tax,Income Tax,Ertragsteuern,pnl
net_income,Net Income,Jahresüberschuss,pnl
net_margin,Net Margin,Nettomarge,pnl
other_income,Other Income/Expense,Sonstiges Ergebnis,pnl
waterfall_title,Revenue to Net Income Bridge,Umsatz-zu-Gewinn-Brücke,pnl
margin_trends,Margin Trends,Margenentwicklung,pnl
,,,
# --- Budget vs Actual (Project 2) ---,,,
bva_title,Budget vs Actual,Plan-Ist-Vergleich,bva
bva_overview,BvA Overview,Plan-Ist Übersicht,bva
bva_variance_detail,Variance Detail,Abweichungsdetail,bva
bva_trend,Variance Trend,Abweichungsentwicklung,bva
budget,Budget,Plan,bva
plan,Plan,Plan,bva
actual,Actual,Ist,bva
forecast,Forecast,Prognose (Forecast),bva
fc1,Forecast 1 (FC1),Prognose 1 (FC1),bva
fc2,Forecast 2 (FC2),Prognose 2 (FC2),bva
variance,Variance,Abweichung,bva
variance_pct,Variance %,Abweichung %,bva
variance_abs,Absolute Variance,Absolute Abweichung,bva
favorable,Favorable,Günstig,bva
unfavorable,Unfavorable,Ungünstig,bva
on_target,On Target,Im Zielkorridor,bva
over_budget,Over Budget,Über Budget,bva
under_budget,Under Budget,Unter Budget,bva
budget_utilization,Budget Utilization,Budgetauslastung,bva
plan_fact,Plan-Fact Analysis,Plan-Ist-Analyse,bva
cumulative_variance,Cumulative Variance,Kumulierte Abweichung,bva
,,,
# --- Cash Flow Dashboard (Project 3) ---,,,
cf_title,Cash Flow Statement,Kapitalflussrechnung,cashflow
cf_overview,Cash Flow Overview,Cashflow Übersicht,cashflow
cf_waterfall,Cash Flow Waterfall,Cashflow Wasserfall,cashflow
cf_forecast,Cash Flow Forecast,Cashflow-Prognose,cashflow
operating_cf,Operating Cash Flow,Operativer Cashflow,cashflow
investing_cf,Investing Cash Flow,Investitions-Cashflow,cashflow
financing_cf,Financing Cash Flow,Finanzierungs-Cashflow,cashflow
free_cash_flow,Free Cash Flow (FCF),Freier Cashflow (FCF),cashflow
net_cash_flow,Net Cash Flow,Netto-Cashflow,cashflow
cash_beginning,Cash at Beginning,Anfangsbestand liquide Mittel,cashflow
cash_ending,Cash at End,Endbestand liquide Mittel,cashflow
cash_burn_rate,Cash Burn Rate,Cash-Verbrauchsrate,cashflow
cash_runway,Cash Runway,Liquiditätsreichweite,cashflow
rolling_forecast,Rolling 13-Week Forecast,Rollierender 13-Wochen-Forecast,cashflow
